Tanggal,Harga Close (IDR)
2026-03-06,7000.0
2026-03-09,6875.0
2026-03-10,6975.0
2026-03-11,6825.0
2026-03-12,6900.0
2026-03-13,6875.0
2026-03-16,6750.0
2026-03-17,6775.0
2026-03-25,6900.0
2026-03-26,6875.0
2026-03-27,6700.0
2026-03-30,6450.0
2026-03-31,6450.0
2026-04-01,6500.0
2026-04-02,6575.0
2026-04-06,6500.0
2026-04-07,6500.0
2026-04-08,6750.0
2026-04-09,6475.0
2026-04-10,6700.0
2026-04-13,6575.0
2026-04-14,6750.0
2026-04-15,6550.0
2026-04-16,6525.0
2026-04-17,6425.0
2026-04-20,6475.0
2026-04-21,6500.0
2026-04-22,6450.0
2026-04-23,6425.0
2026-04-24,6075.0
